Vancouver — Rental Market Statistics Summary by Zone
October 2022 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
West End/Stanley Park,0.4,a ,**,,"1,698",a ,"1,600",a ,6.8,c ,"3,913",
English Bay,0.9,a ,**,,"1,782",a ,"1,700",a ,9.0,c ,"6,804",
Downtown,1.8,a ,**,,"1,919",a ,"1,800",a ,6.4,b ,"12,130",
South Granville/Oak,0.6,a ,**,,"1,671",a ,"1,602",a ,3.9,c ,"8,610",
Kitsilano/Point Grey,0.4,a ,**,,"1,792",a ,"1,708",a ,**,,"7,354",
Westside/Kerrisdale,2.5,b ,**,,"2,010",a ,"1,797",a ,7.0,b ,"3,361",
Marpole,0.4,a ,**,,"1,282",a ,"1,225",a ,4.7,d ,"3,754",
Mount Pleasant/Renfrew Heights,0.5,a ,**,,"1,622",a ,"1,544",a ,2.8,c ,"7,018",
East Hastings,0.5,a ,**,,"1,547",a ,"1,463",a ,**,,"5,670",
Southeast Vancouver,0.3,a ,**,,"1,732",a ,"1,643",a ,3.2,c ,"3,315",
University Endowment Lands,0.2,a ,**,,"2,300",a ,"2,248",a ,3.7,a ,"1,364",
Central Park/Metrotown,1.5,a ,**,,"1,528",a ,"1,395",a ,7.9,c ,"5,057",
Southeast Burnaby,0.2,a ,**,,"1,344",a ,"1,315",b ,**,,"2,184",
North Burnaby,1.0,a ,**,,"1,681",a ,"1,600",a ,9.3,b ,"4,373",
New Westminster,0.6,a ,**,,"1,475",a ,"1,400",a ,5.8,c ,"9,705",
North Vancouver CY,1.0,a ,**,,"1,781",a ,"1,661",a ,7.1,c ,"6,884",
North Vancouver DM,2.8,a ,**,,"2,238",a ,"2,028",a ,**,,"2,464",
West Vancouver,1.1,a ,**,,"2,299",a ,"2,200",a ,6.1,b ,"2,409",
Richmond,0.5,a ,**,,"1,695",a ,"1,613",a ,10.5,d ,"3,398",
Delta,0.4,a ,**,,"1,367",a ,"1,252",a ,4.7,c ,"1,740",
Surrey,0.6,a ,**,,"1,458",a ,"1,400",a ,6.3,c ,"6,463",
White Rock,1.5,a ,**,,"1,300",a ,"1,179",a ,5.9,d ,"1,450",
Langley City and Langley DM,0.9,a ,**,,"1,502",a ,"1,525",a ,3.8,d ,"3,494",
Tri-Cities,0.7,a ,**,,"1,564",a ,"1,500",a ,**,,"5,686",
Maple Ridge/Pitt Meadows,0.8,a ,**,,"1,309",a ,"1,320",a ,9.2,b ,"1,872",
Vancouver,0.9,a ,**,,"1,675",a ,"1,575",a ,6.4,a ,"120,472",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
"CMA, CA and CSD definitions are based on 2016 Census Geography Definitions"
Source,CMHC Rental Market Survey
